OrigOrder,PriorityOrder,Airport_Code,Airport Name,City,State_Code,Latitude,Longitude,Elevation_FT,Tower Freq,Runway,RwyHdg,TDZE,VasiGS,VasiBoxLat,VasiBoxLong,NwLat,NwLong,NeLat,NeLong,SwLat,SwLong,SeLat,SeLong,CenterLat,CenterLong
11370,1,GFK,GRAND FORKS INTL,GRAND FORKS,ND,47.947267,-97.173781,845,118.4,35L,360,845,2.76,47.942622,-97.18124,47.959244,-97.181527,47.959243,-97.180917,47.939094,-97.181546,47.939097,-97.180931,47.9491695,-97.18123025
11370,1,GFK,GRAND FORKS INTL,GRAND FORKS,ND,47.947267,-97.173781,845,118.4,35R,360,845,3,47.941747,-97.166219,47.951347,-97.166356,47.951347,-97.166056,47.940658,-97.166372,47.940657,-97.166071,47.94600225,-97.16621375
11370,1,GFK,GRAND FORKS INTL,GRAND FORKS,ND,47.947267,-97.173781,845,118.4,17R,180,843,3,47.956334,-97.181225,47.959244,-97.181527,47.959243,-97.180917,47.939094,-97.181546,47.939097,-97.180931,47.9491695,-97.18123025
11370,1,GFK,GRAND FORKS INTL,GRAND FORKS,ND,47.947267,-97.173781,845,118.4,17L,180,845,3,47.95025,-97.16621,47.951347,-97.166356,47.951347,-97.166056,47.940658,-97.166372,47.940657,-97.166071,47.94600225,-97.16621375
11370,1,GFK,GRAND FORKS INTL,GRAND FORKS,ND,47.947267,-97.173781,845,118.4,27R,270,843,3,,,47.952524,-97.18492,47.952526,-97.16776,47.952259,-97.18492,47.952256,-97.167764,47.95239125,-97.176341
11370,1,GFK,GRAND FORKS INTL,GRAND FORKS,ND,47.947267,-97.173781,845,118.4,27L,270,845,3,47.937986,-97.157913,47.938072,-97.169589,47.938064,-97.156128,47.937914,-97.169588,47.937905,-97.15613,47.93798875,-97.16285875
11370,1,GFK,GRAND FORKS INTL,GRAND FORKS,ND,47.947267,-97.173781,845,118.4,9R,90,845,3,47.937992,-97.167803,47.938072,-97.169589,47.938064,-97.156128,47.937914,-97.169588,47.937905,-97.15613,47.93798875,-97.16285875
11370,1,GFK,GRAND FORKS INTL,GRAND FORKS,ND,47.947267,-97.173781,845,118.4,9L,90,843,3,47.95239,-97.181863,47.952524,-97.18492,47.952526,-97.16776,47.952259,-97.18492,47.952256,-97.167764,47.95239125,-97.176341
10551,2,D37,WARREN MUNI,WARREN,MN,48.186667,-96.716667,880,122.8,30,310,888,NA,NA,NA,48.19329,-96.71509,48.193444,-96.714892,48.187966,-96.705764,48.188119,-96.70556,48.19070475,-96.7103265
10551,2,D37,WARREN MUNI,WARREN,MN,48.186667,-96.716667,880,122.8,12,130,888,NA,NA,NA,48.19329,-96.71509,48.193444,-96.714892,48.187966,-96.705764,48.188119,-96.70556,48.19070475,-96.7103265
