Airport_Code,Airport Name,City,State_Code,Latitude,Longitude,Elevation_FT,Tower Freq
00A,STONE MOUNTAIN-BRITT MEMORIAL,STONE MOUNTAIN,GA,33.811667,-84.12,986,122.8
00CA,GOLDSTONE /GTS/,BARSTOW,CA,35.35,-116.88833,3038,
00E,AT&T - APACHE JUNCTION,MESA,AZ,33.495,-111.64167,2527,
00F,BROADUS AIPORT,BROADUS,MT,45.470472,-105.45714,3282,
00FD,RINGHAVER,RIVERVIEW,FL,28.846667,-82.345,25,
00FL,RIVER OAK,OKEECHOBEE,FL,27.231667,-80.97,35,
00I,CHAPMAN MEMORIAL FIELD,CENTERBURG,OH,40.295,-82.731667,1180,
00II,ENGLISH,ENGLISH,IN,38.34,-86.468333,508,
00IS,HAYENGA'S CANT FIND FARMS,KINGS,IL,40.025,-89.123333,820,
00J,GEORGIA-PACIFIC,CEDAR SPRINGS,GA,31.14,-85.046667,133,
00K,REDPATH RLA,BALDWIN,IL,38.181667,-89.808333,470,
00KS,HAYDEN FARM,GARDNER,KS,38.728333,-94.93,1100,
00L,LYALL-ROBERTS,ESCONDIDO,CA,33.325,-116.99,925,
00M,THIGPEN FIELD,BAY SPRINGS,MS,31.953333,-89.235,351,122.9
00MI,DOW CHEMICAL,LUDINGTON,MI,43.95,-86.416667,588,
00N,BUCKS,BRIDGETON,NJ,39.473333,-75.185,105,122.9
00NC,NORTH RALEIGH,LOUISBURG,NC,36.085,-78.371667,348,
00NJ,COLGATE-PISCATAWAY,NEW BRUNSWICK,NJ,40.521667,-74.475,78,
00OI,MIAMI VALLEY HOSPITAL,DAYTON,OH,39.745,-84.186667,905,
00OR,STEEL SYSTEMS,SALEM,OR,44.933333,-123.13,195,
00Q,THAYER AVIATION,GRIMES,CA,39.075,-121.91833,54,
00R,LIVINGSTON MUNI,LIVINGSTON,TX,30.685,-95.018333,151,122.7
00S,MC KENZIE BRIDGE STATE,MC KENZIE BRIDGE,OR,44.183333,-122.08833,1620,122.9
00TS,ALPINE RANGE,EVERMAN,TX,32.608333,-97.241667,670,
00V,MEADOW LAKE,COLORADO SPRINGS,CO,38.945,-104.57167,6874,123
00VA,CITY,VIRGINIA BEACH,VA,36.746667,-76.051667,12,
00X,DORAL RESORT & COUNTRY CLUB,MIAMI,FL,25.813333,-80.338333,6,
00XS,L P ASKEW FARMS,O'DONNELL,TX,33.033333,-101.93333,3110,
00Y,KAPAUN-WILSON FIELD,GRACEVILLE,MN,45.55,-96.451667,1122,122.9
01A,GRANDVIEW LODGE,PURKEYPILE,AK,62.943333,-152.27,1950,122.9
01B,WOODSTOCK,SOUTH WOODSTOCK,CT,41.921667,-71.953333,465,
01C,GRANT,GRANT,MI,43.341667,-85.775,815,122.8
01CA,LUGO SUBSTATION,HESPERIA,CA,34.368333,-117.37,3733,
01CO,ST VINCENT GENERAL HOSPITAL,LEADVILLE,CO,39.245,-106.24667,10175,
01FD,FLORIDA HOSPITAL-ALTAMONTE,ALTAMONTE SPRINGS,FL,28.666667,-81.37,86,
01FL,FROG WELLS,ST CLOUD,FL,28.291667,-81.34,67,
